"food_id","food_name","portion_size","calorie","protein_gr","carbohydrate_gr","fat_gr"
"27446350",Asian chicken or turkey garden salad,Per 100g,130.0,11.44,9.5,5.46
"27446355",Asian chicken or turkey garden salad with crispy noodles,Per 100g,116.0,10.24,8.11,5.26
"27446360",Chicken or turkey caesar garden salad,Per 100g,63.0,8.52,2.99,1.94
"27448020",Chicken or turkey fricassee,Per 100g,183.0,14.0,2.54,13.12
"27450010",Crab salad (Includes: made with any dressing),Per 100g,188.0,9.4,1.27,15.89
"27450020",Lobster salad (Includes: made with any dressing),Per 100g,187.0,10.29,1.22,15.4
"27450030",Salmon salad (Includes: made with any dressing),Per 100g,213.0,10.82,2.73,17.36
"27450040",Shrimp chow mein or chop suey,Per 100g,69.0,8.8,4.27,1.69
"27450060",Tuna salad,Per 100g,194.0,10.07,2.89,15.84
"27450070",Shrimp salad (Includes: made with any dressing),Per 100g,196.0,10.68,1.27,16.2
"27450080",Seafood salad (Includes: made with any dressing),Per 100g,190.0,10.12,1.25,15.82
"27450090",Tuna salad with cheese (Includes: made with any dressing),Per 100g,214.0,11.33,2.85,17.58
"27450100",Tuna salad with egg (Includes: made with any dressing),Per 100g,190.0,10.28,2.74,15.4
"27450110",Shrimp garden salad,Per 100g,65.0,8.28,2.77,2.04
"27450130",Crab salad made with imitation crab (Includes: made with any dressing),Per 100g,197.0,4.07,8.66,16.28
"27450180",Seafood garden salad with seafood,Per 100g,47.0,7.66,2.62,0.5
"27450250",Oysters Rockefeller,Per 100g,134.0,7.64,9.38,7.53
"27450310",Lomi salmon,Per 100g,60.0,7.55,3.31,1.86
"27450400",Shrimp and vegetables including carrots,Per 100g,118.0,9.35,3.8,7.25
"27450405",Shrimp and vegetables excluding carrots,Per 100g,124.0,9.25,6.78,6.87
"27450430",Shrimp shish kabob with vegetables,Per 100g,83.0,11.23,5.74,1.59
"27450470",Kung Pao shrimp,Per 100g,173.0,13.94,5.32,10.74
"27450510",Tuna casserole with vegetables and mushroom sauce,Per 100g,115.0,9.04,8.39,5.12
"27450600",Shellfish mixture and vegetables including carrots,Per 100g,120.0,9.41,5.89,6.38
"27450610",Shellfish mixture and vegetables excluding carrots,Per 100g,122.0,9.73,5.63,6.62
"27450700",Fish and vegetables including carrots,Per 100g,106.0,6.28,4.39,7.26
"27450710",Fish and vegetables excluding carrots,Per 100g,112.0,6.33,6.3,7.26
"27450750",Fish and vegetables excluding  carrots,Per 100g,106.0,8.04,4.33,6.22
"27450760",Fish shish kabob with vegetables,Per 100g,68.0,9.41,5.06,1.05
"27451010",Fried fish with sauce,Per 100g,155.0,11.81,3.42,10.3
"27451030",Lobster with sauce,Per 100g,154.0,10.75,3.94,10.55
"27451060",Octopus salad,Per 100g,170.0,9.67,5.56,11.95
"27451070",Codfish salad,Per 100g,183.0,6.61,2.81,15.94
"27460100",Lau lau (Includes: pork and fish wrapped in taro or spinach leaves),Per 100g,140.0,15.25,0.0,8.32
"27460510",Antipasto with ham,Per 100g,158.0,11.62,3.75,10.7
"27460710",Livers,Per 100g,226.0,12.89,2.87,17.69
"27462000",Stewed chitterlings,Per 100g,214.0,8.38,3.83,18.5
"27463000",Stewed gizzards,Per 100g,179.0,20.26,4.41,8.69
"27464000",Gumbo,Per 100g,83.0,8.54,4.03,3.68
"27500050",Sandwich,Per 100g,287.0,12.75,33.83,12.03
"27500300",Sandwich wrap,Per 100g,232.0,12.77,23.3,9.4
"27500400",Barbecue sandwich,Per 100g,238.0,15.34,24.86,8.12
"27510100",Sloppy joe sandwich,Per 100g,185.0,11.32,19.95,6.42
"27510130",Barbecue beef sandwich,Per 100g,245.0,16.48,24.86,8.5
"27510140",Cheeseburger slider,Per 100g,298.0,16.15,25.02,14.29
"27510155",Cheeseburger,Per 100g,296.0,17.87,18.71,16.15
"27510170",Cheeseburger (Burger King),Per 100g,265.0,14.02,23.66,12.32
"27510171",Whopper Jr with cheese (Burger King),Per 100g,235.0,12.02,19.0,12.09
"27510172",Cheeseburger (McDonalds),Per 100g,270.0,13.49,25.46,12.9
"27510191",Cheeseburger slider (Includes: miniature patty),Per 100g,297.0,18.09,17.9,16.41
"27510229",Quarter Pounder (McDonalds),Per 100g,256.0,15.68,22.14,11.6
